n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
136,B,04,002,0.7877,0.0001907,0.6174,91.3125,0.9633,1.1816,0.9845,0.8463,910.6447,83153.2263,283.0225,25843.4861,1815.9955,165823.058
137,B,04,002,0.7877,0.0001907,0.6174,87.7531,0.9521,1.3478,0.9977,0.7419,1388.7145,121863.969,310.5616,27252.7375,1949.5289,171077.153
138,B,04,002,0.7877,0.0001907,0.6174,93.366,0.9481,1.2967,0.9927,0.7712,199.9545,18668.9534,266.8666,24916.2605,1868.5088,174455.168
139,B,04,002,0.7877,0.0001907,0.6174,83.3723,0.9314,1.4692,1.0074,0.6806,207.3596,17288.0404,271.4631,22632.4902,1833.8686,152893.785
140,B,04,002,0.7877,0.0001907,0.6174,89.8066,0.9536,1.2757,0.9887,0.7839,200.5854,18013.8856,273.2973,24543.8918,1833.9299,164698.97
141,B,04,002,0.7877,0.0001907,0.6174,93.5029,0.9751,1.131,0.9964,0.8841,202.7657,18959.182,274.3631,25653.7423,1969.0805,184114.714
142,B,04,002,0.7877,0.0001907,0.6174,124.3054,0.9544,1.3332,1.0044,0.7501,1387.4604,172468.882,272.674,33894.865,1928.0341,239665.149
143,B,04,002,0.7877,0.0001907,0.6174,164.2803,0.9318,1.4561,1.0101,0.6868,281.9708,46322.2611,268.3958,44092.1557,1892.9508,310974.585
144,B,04,002,0.7877,0.0001907,0.6174,96.104,0.9766,1.1328,1.0159,0.8828,204.3661,19640.3978,266.1966,25582.5542,1885.5328,181207.226
145,B,04,002,0.7877,0.0001907,0.6174,109.1095,0.9095,1.5646,0.995,0.6391,199.6462,21783.2978,267.8206,29221.7741,1915.1079,208956.501
146,B,04,002,0.7877,0.0001907,0.6174,96.6516,0.9695,1.226,1.0036,0.8157,205.0297,19816.4515,278.2479,26893.1005,1909.5354,184559.64
