n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
455,B,04,004,0.7687,0.00009537,0.4648,65.849,0.9035,1.5106,0.9918,0.662,211.7027,13940.418,291.8358,19217.1021,1904.0042,125376.83
456,B,04,004,0.7687,0.00009537,0.4648,89.3959,0.8439,1.6422,1.0085,0.6089,207.5636,18555.3262,271.8438,24301.7152,2123.5329,189835.092
457,B,04,004,0.7687,0.00009537,0.4648,82.9616,0.9295,1.3182,0.9926,0.7586,203.2921,16865.4292,276.4026,22930.7959,2123.8977,176201.878
458,B,04,004,0.7687,0.00009537,0.4648,78.8546,0.9345,1.2505,0.988,0.7997,208.283,16424.0627,294.809,23247.0355,2096.1615,165291.885
459,B,04,004,0.7687,0.00009537,0.4648,100.6217,0.8069,2.0748,0.9826,0.482,1707.7088,171832.569,294.4816,29631.2429,1918.181,193010.631
460,B,04,004,0.7687,0.00009537,0.4648,89.8066,0.8537,1.6585,0.9828,0.603,278.5655,25017.0191,261.061,23444.9933,2099.1235,188515.1
461,B,04,004,0.7687,0.00009537,0.4648,135.5313,0.9005,1.4631,0.987,0.6835,210.4949,28528.6481,292.6515,39663.4318,2051.9253,278100.038
462,B,04,004,0.7687,0.00009537,0.4648,84.0568,0.6888,2.519,0.9624,0.397,204.9267,17225.477,284.8974,23947.5542,2088.5635,175557.899
463,B,04,004,0.7687,0.00009537,0.4648,94.4612,0.8763,1.4522,0.9857,0.6886,353.4899,33391.072,272.6072,25750.8046,2123.7087,200608.048
464,B,04,004,0.7687,0.00009537,0.4648,113.3534,0.8747,1.7353,0.9857,0.5763,1453.9034,164804.93,275.2307,31198.3403,1999.1135,226606.369
465,B,04,004,0.7687,0.00009537,0.4648,88.1638,0.7903,2.046,0.9648,0.4887,210.4317,18552.4513,285.1646,25141.1877,2009.0528,177125.681
466,B,04,004,0.7687,0.00009537,0.4648,97.1992,0.9291,1.4497,0.9916,0.6898,211.4296,20550.7846,285.6507,27765.0183,1761.3662,171203.375
467,B,04,004,0.7687,0.00009537,0.4648,70.2298,0.7975,1.6859,0.9744,0.5932,209.9766,14746.6237,291.4152,20466.0433,2175.0858,152755.927
468,B,04,004,0.7687,0.00009537,0.4648,140.049,0.9012,1.6723,1.0015,0.598,204.2923,28610.9251,278.1105,38949.0862,2158.6725,302319.886
469,B,04,004,0.7687,0.00009537,0.4648,70.0929,0.8672,1.716,0.9837,0.5827,245.9316,17238.0718,279.207,19570.4417,1876.3574,131519.409
470,B,04,004,0.7687,0.00009537,0.4648,128.0018,0.8554,1.8736,0.9926,0.5337,1197.4631,153277.38,260.4203,33334.2584,2089.0053,267396.353
471,B,04,004,0.7687,0.00009537,0.4648,98.5682,0.8678,1.5812,0.9677,0.6324,287.8986,28377.6471,275.1597,27121.9977,2102.0556,207195.826
472,B,04,004,0.7687,0.00009537,0.4648,117.7342,0.7185,2.3485,0.9466,0.4258,1028.4151,121079.667,271.4395,31957.7261,1957.7047,230488.86
473,B,04,004,0.7687,0.00009537,0.4648,63.5217,0.9342,1.4662,0.9883,0.682,205.0776,13026.8825,278.0388,17661.5043,2093.4289,132978.218
474,B,04,004,0.7687,0.00009537,0.4648,124.7161,0.8833,1.5572,0.9691,0.6422,210.9945,26314.423,282.0176,35172.1445,2021.472,252110.205
475,B,04,004,0.7687,0.00009537,0.4648,120.1984,0.882,1.66,0.9938,0.6024,598.1059,71891.3991,272.7665,32786.1097,1990.4248,239245.96
476,B,04,004,0.7687,0.00009537,0.4648,99.6634,0.9165,1.5464,1.0007,0.6467,199.3407,19866.9677,265.8283,26493.3517,1815.9986,180988.596
477,B,04,004,0.7687,0.00009537,0.4648,84.7413,0.8202,1.9957,0.9849,0.5011,198.6785,16836.2695,273.7157,23195.0134,2132.7254,180729.855
478,B,04,004,0.7687,0.00009537,0.4648,36.8262,0.8233,1.8999,1,0.5264,201.7695,7430.3993,275.5019,10145.6793,2093.4275,77092.925
479,B,04,004,0.7687,0.00009537,0.4648,101.0324,0.8065,1.8979,0.9628,0.5269,207.4363,20957.7891,282.4065,28532.2075,2054.3455,207555.463
480,B,04,004,0.7687,0.00009537,0.4648,94.3243,0.8171,1.6283,0.965,0.6141,206.5036,19478.3079,279.3164,26346.3208,2072.8418,195519.328
481,B,04,004,0.7687,0.00009537,0.4648,125.1269,0.8772,1.7147,0.9812,0.5832,1196.9781,149774.102,280.6422,35115.8785,2046.6379,256089.348
482,B,04,004,0.7687,0.00009537,0.4648,118.2818,0.8639,1.6996,0.9954,0.5884,209.1644,24740.3437,283.3715,33517.7047,1980.2523,234227.881
483,B,04,004,0.7687,0.00009537,0.4648,163.5958,0.8061,1.8087,0.9428,0.5529,460.5138,75338.1373,273.8268,44796.9183,2131.4812,348701.425
484,B,04,004,0.7687,0.00009537,0.4648,90.0804,0.891,1.4722,0.9872,0.6793,352.9742,31796.0469,272.804,24574.2836,2161.7264,194729.14
485,B,04,004,0.7687,0.00009537,0.4648,118.2818,0.7716,2.1678,0.9891,0.4613,671.3646,79410.2359,279.0856,33010.763,2113.5428,249993.727
486,B,04,004,0.7687,0.00009537,0.4648,108.0143,0.8917,1.4656,0.9918,0.6823,386.6451,41763.2082,270.8492,29255.5885,1912.4385,206570.74
487,B,04,004,0.7687,0.00009537,0.4648,135.5313,0.7562,2.2693,0.9626,0.4407,231.098,31321.0029,261.8141,35484.0034,2091.0919,283408.346
488,B,04,004,0.7687,0.00009537,0.4648,98.9789,0.7548,2.1762,0.9837,0.4595,201.8589,19979.7736,274.5394,27173.6091,2173.4288,215123.584
489,B,04,004,0.7687,0.00009537,0.4648,115.27,0.9079,1.5371,0.997,0.6506,366.9941,42303.4167,264.1912,30453.329,2129.9584,245520.374
490,B,04,004,0.7687,0.00009537,0.4648,89.9435,0.8599,1.3741,0.9705,0.7278,201.312,18106.704,271.8356,24449.8413,2018.411,181542.905
491,B,04,004,0.7687,0.00009537,0.4648,63.9324,0.8214,2.0088,0.9884,0.4978,213.4304,13645.1241,298.2591,19068.4284,1888.242,120719.894
492,B,04,004,0.7687,0.00009537,0.4648,86.7948,0.8303,1.5891,0.9442,0.6293,203.3312,17648.0881,275.3975,23903.0616,1872.5426,162526.91
493,B,04,004,0.7687,0.00009537,0.4648,92.5446,0.8614,1.6266,0.9876,0.6148,200.7678,18579.9683,272.6331,25230.7205,2097.7396,194134.445
494,B,04,004,0.7687,0.00009537,0.4648,97.473,0.866,1.8156,0.9861,0.5508,902.0154,87922.1473,278.3975,27136.2354,2011.375,196054.745
495,B,04,004,0.7687,0.00009537,0.4648,59.4147,0.7435,2.2405,0.9644,0.4463,207.5899,12333.8933,281.8341,16745.0939,2127.394,126398.517
496,B,04,004,0.7687,0.00009537,0.4648,129.3708,0.8661,1.6306,0.9834,0.6133,221.2624,28624.8889,274.1894,35472.093,2142.9101,277229.899
497,B,04,004,0.7687,0.00009537,0.4648,91.5863,0.8668,1.816,1.0007,0.5507,202.1151,18510.9705,276.8999,25360.2281,1905.3692,174505.684
498,B,04,004,0.7687,0.00009537,0.4648,85.4258,0.7959,1.6511,0.9773,0.6056,205.0593,17517.3483,271.5785,23199.8049,2010.1298,171716.888
499,B,04,004,0.7687,0.00009537,0.4648,85.9734,0.7532,2.1902,0.9573,0.4566,203.9697,17535.9668,278.1194,23910.8649,2051.7723,176397.782
500,B,04,004,0.7687,0.00009537,0.4648,57.2243,0.9128,1.4255,0.9789,0.7015,203.7153,11657.469,278.3517,15928.4838,2105.2273,120470.187
501,B,04,004,0.7687,0.00009537,0.4648,61.742,0.8039,1.8319,0.9657,0.5459,219.6785,13563.3946,321.1951,19831.2368,1851.5809,114320.353
502,B,04,004,0.7687,0.00009537,0.4648,100.8955,0.7804,1.8702,0.9666,0.5347,1388.0339,140046.379,272.7476,27519.0085,2145.7083,216492.313
503,B,04,004,0.7687,0.00009537,0.4648,93.366,0.8433,1.7387,0.975,0.5751,2202.0982,205601.075,292.3754,27297.9146,1712.5235,159891.443
504,B,04,004,0.7687,0.00009537,0.4648,101.3062,0.7549,2.0184,0.9743,0.4954,199.4135,20201.8258,269.627,27314.8902,2142.9257,217091.663
505,B,04,004,0.7687,0.00009537,0.4648,91.5863,0.9325,1.4569,1.003,0.6864,200.3079,18345.4581,274.0284,25097.2427,2025.3049,185490.151
506,B,04,004,0.7687,0.00009537,0.4648,72.694,0.7244,2.334,0.977,0.4284,198.1262,14402.5933,268.0038,19482.278,2099.2505,152603.009
507,B,04,004,0.7687,0.00009537,0.4648,91.1756,0.9125,1.2,0.9794,0.8333,199.8168,18218.4146,267.7162,24409.1819,1818.1096,165767.202
508,B,04,004,0.7687,0.00009537,0.4648,107.8774,0.7847,2.2044,0.985,0.4536,1025.3693,110614.189,276.8985,29871.0921,2131.7348,229966.038
509,B,04,004,0.7687,0.00009537,0.4648,128.2756,0.9021,1.313,1.0016,0.7616,331.111,42473.4468,290.207,37226.4701,2049.4386,262892.881
510,B,04,004,0.7687,0.00009537,0.4648,72.8309,0.8515,1.7575,0.9963,0.569,211.9305,15435.0952,308.1729,22444.5261,1874.0056,136485.603
511,B,04,004,0.7687,0.00009537,0.4648,82.1402,0.7894,2.1911,1.0008,0.4564,208.7617,17147.7176,284.49,23368.0553,1747.0067,143499.415
512,B,04,005,0.776,0.0001907,0.7018,117.4604,0.9782,1.1866,1.0041,0.8427,968.4033,113749.068,277.3205,32574.188,1865.3298,219102.454
513,B,04,005,0.776,0.0001907,0.7018,113.901,0.9889,1.0436,0.9864,0.9582,1091.7188,124347.888,278.7632,31751.4174,1922.78,219006.624
514,B,04,005,0.776,0.0001907,0.7018,82.8247,0.9777,1.2483,1.0017,0.8011,203.4959,16854.4772,286.8512,23758.358,1689.7752,139955.067
515,B,04,005,0.776,0.0001907,0.7018,70.7774,0.9865,1.0472,1.0078,0.9549,202.6596,14343.7262,282.1296,19968.4108,1659.6557,117466.185
516,B,04,005,0.776,0.0001907,0.7018,151.6855,0.9862,1.0204,1.0027,0.98,190.2996,28865.6965,251.4034,38134.2558,1839.2464,278987.014
517,B,04,005,0.776,0.0001907,0.7018,77.7594,0.9757,1.1252,1.0053,0.8887,203.8961,15854.8314,284.8944,22153.2023,1753.2553,136332.001
518,B,04,005,0.776,0.0001907,0.7018,98.1575,0.9405,1.4439,0.9965,0.6926,1208.5286,118626.141,282.1994,27699.9907,1935.3556,189969.665
519,B,04,005,0.776,0.0001907,0.7018,118.1449,0.9307,1.4166,0.9994,0.7059,540.1773,63819.2113,279.153,32980.5081,1931.6732,228217.411
520,B,04,005,0.776,0.0001907,0.7018,70.9143,0.9278,1.5331,0.9914,0.6523,201.2336,14270.3476,280.4247,19886.1338,1861.8012,132028.404
521,B,04,005,0.776,0.0001907,0.7018,58.7302,0.9496,1.2847,1.0142,0.7784,207.6294,12194.1181,284.2797,16695.8098,1964.8904,115398.443
522,B,04,005,0.776,0.0001907,0.7018,85.8365,0.9625,1.2711,0.9843,0.7867,463.2424,39763.0952,290.9426,24973.4848,1654.1483,141986.256
523,B,04,005,0.776,0.0001907,0.7018,69.4084,0.9577,1.1444,1.006,0.8738,205.8817,14289.9244,284.1243,19720.6213,1919.9566,133261.191
524,B,04,005,0.776,0.0001907,0.7018,117.4604,0.9707,1.1628,0.9983,0.86,604.1212,70960.3403,267.7494,31449.963,1907.7995,224090.963
525,B,04,005,0.776,0.0001907,0.7018,89.1221,0.9699,1.1835,0.9782,0.845,359.4747,32037.1283,277.4117,24723.5049,1935.8633,172528.159
526,B,04,005,0.776,0.0001907,0.7018,77.6225,0.9647,1.1738,1.0152,0.852,201.776,15662.3496,279.388,21686.7831,1927.642,149628.303
527,B,04,005,0.776,0.0001907,0.7018,82.8247,0.8928,1.6475,0.9878,0.607,201.4,16680.8877,274.0116,22694.9167,1845.8529,152882.149
528,B,04,005,0.776,0.0001907,0.7018,81.5926,0.8918,1.6393,1.0093,0.61,208.2332,16990.2823,284.3842,23203.6381,1864.7433,152149.185
529,B,04,005,0.776,0.0001907,0.7018,104.318,0.945,1.1401,0.9948,0.8771,1171.5433,122213.065,279.9606,29204.9354,1910.7218,199322.692
530,B,04,005,0.776,0.0001907,0.7018,70.9143,0.8518,1.5242,0.9719,0.6561,207.3958,14707.3333,291.0811,20641.8233,1664.2297,118017.756
531,B,04,005,0.776,0.0001907,0.7018,103.7704,0.9232,1.4731,1.004,0.6788,200.8325,20840.4656,267.9182,27801.9814,1766.1332,183272.367
532,B,04,005,0.776,0.0001907,0.7018,70.7774,0.9544,1.361,1.0068,0.7348,389.3733,27558.8465,283.9439,20096.8233,1875,132707.703
533,B,04,005,0.776,0.0001907,0.7018,66.1228,0.9535,1.2434,0.9857,0.8043,210.1718,13897.1575,293.8675,19431.3511,1786.47,118126.455
534,B,04,005,0.776,0.0001907,0.7018,79.676,0.9618,1.2901,0.9923,0.7751,221.6426,17659.5877,319.2165,25433.8805,1808.2595,144074.806
535,B,04,005,0.776,0.0001907,0.7018,69.956,0.9543,1.2312,0.9932,0.8122,205.9061,14404.373,290.9393,20352.9637,1928.1722,134887.292
536,B,04,005,0.776,0.0001907,0.7018,133.8885,0.9552,1.3713,0.9939,0.7292,200.954,26905.4215,277.3436,37133.1041,1672.5297,223932.432
537,B,04,005,0.776,0.0001907,0.7018,82.2771,0.9769,1.1548,0.9992,0.8659,202.1681,16633.794,275.0666,22631.6688,1779.2679,146392.939
538,B,04,005,0.776,0.0001907,0.7018,75.569,0.8953,1.4529,0.9735,0.6883,197.4692,14922.5405,267.3134,20200.5937,1851.2645,139898.116
539,B,04,005,0.776,0.0001907,0.7018,74.8844,0.9632,1.1084,0.9909,0.9022,210.1097,15733.9485,273.9397,20513.8215,1829.872,137028.96
540,B,04,005,0.776,0.0001907,0.7018,93.7767,0.9488,1.4319,0.9928,0.6984,1071.0321,100437.844,277.1314,25988.4635,1682.0088,157733.21
541,B,04,005,0.776,0.0001907,0.7018,86.7948,0.9475,1.4024,0.9976,0.713,199.8391,17344.9909,274.123,23792.4462,1944.0836,168736.296
542,B,04,005,0.776,0.0001907,0.7018,84.3306,0.9539,1.0388,0.9912,0.9627,218.0909,18391.7304,283.6006,23916.204,1921.5795,162047.896
543,B,04,005,0.776,0.0001907,0.7018,118.1449,0.8942,1.5687,0.9988,0.6375,2228.3175,263264.429,275.489,32547.6294,1890.8216,223390.992
544,B,04,005,0.776,0.0001907,0.7018,72.8309,0.9659,1.2078,1.0085,0.8279,204.8797,14921.5822,281.5658,20506.7027,1807.9117,131671.915
545,B,04,005,0.776,0.0001907,0.7018,94.4612,0.9528,1.3378,1.0022,0.7475,200.1623,18907.5706,268.7522,25386.6499,1948.4188,184049.96
546,B,04,005,0.776,0.0001907,0.7018,69.6822,0.8567,1.6214,1.002,0.6167,209.8527,14623.0027,290.3438,20231.807,1798,125288.666
547,B,04,005,0.776,0.0001907,0.7018,85.2889,0.9071,1.5424,1.0032,0.6483,3300.4013,281487.498,304.6886,25986.5469,1886.6404,160909.433
548,B,04,005,0.776,0.0001907,0.7018,108.6988,0.9438,1.2134,0.9888,0.8241,212.6625,23116.1588,295.4244,32112.2865,1881.9698,204567.889
549,B,04,005,0.776,0.0001907,0.7018,102.4014,0.9294,1.3873,1.0013,0.7208,203.9733,20887.1486,279.869,28658.9771,1919.6043,196570.175
550,B,04,005,0.776,0.0001907,0.7018,83.9199,0.8882,1.6646,1.0107,0.6007,196.1093,16457.4664,264.9739,22236.5746,1746.3018,146549.416
551,B,04,005,0.776,0.0001907,0.7018,114.4486,0.8499,1.7152,0.9727,0.583,237.0993,27135.6878,285.9593,32727.6533,1911.9833,218823.862
552,B,04,005,0.776,0.0001907,0.7018,81.5926,0.9781,1.1492,1.0034,0.8702,236.203,19272.4098,286.0604,23340.4015,1954.0034,159432.142
553,B,04,005,0.776,0.0001907,0.7018,134.0254,0.8224,1.9627,0.9909,0.5095,204.096,27354.0437,282.7303,37893.0375,1954.9356,262010.97
554,B,04,005,0.776,0.0001907,0.7018,39.4273,0.9047,1.5365,0.9863,0.6508,210.6424,8305.0551,295.5903,11654.3203,1720.8056,67846.6805
555,B,04,005,0.776,0.0001907,0.7018,59.9623,0.9334,1.3282,0.981,0.7529,207.9018,12466.2758,285.605,17125.5398,1922.4155,115272.495
556,B,04,005,0.776,0.0001907,0.7018,116.2283,0.9269,1.4287,1.0089,0.6999,328.6466,38198.0513,294.5665,34236.9788,1917.0365,222813.957
557,B,04,005,0.776,0.0001907,0.7018,82.414,0.7367,1.4784,0.9128,0.6764,198.1429,16329.7385,269.5698,22216.3133,1902.3322,156778.741
558,B,04,005,0.776,0.0001907,0.7018,89.8066,0.8779,1.4343,0.9704,0.6972,203.6326,18287.5493,287.2546,25797.3507,1887.7652,169533.74
559,B,04,005,0.776,0.0001907,0.7018,75.0214,0.9437,1.3689,0.9991,0.7305,203.1989,15244.2562,286.5712,21498.9559,1673.5693,125553.432
560,B,04,005,0.776,0.0001907,0.7018,95.8302,0.8951,1.5879,1.0021,0.6298,216.66,20762.5693,309.2057,29631.2429,1787.76,171321.383
561,B,04,005,0.776,0.0001907,0.7018,80.0867,0.9715,1.2654,0.9924,0.7902,207.1231,16587.7955,290.7607,23286.0521,1858.4718,148838.799
562,B,04,005,0.776,0.0001907,0.7018,87.4793,0.8481,1.8489,1.0055,0.5409,393.9781,34464.9177,287.975,25191.8408,1947.6995,170383.343
563,B,04,005,0.776,0.0001907,0.7018,80.4974,0.8014,2.1021,0.9916,0.4757,224.216,18048.7952,275.8622,22206.1827,1828.1803,147163.687
564,B,04,005,0.776,0.0001907,0.7018,87.0686,0.9563,1.2156,0.9984,0.8227,198.2107,17257.9223,266.7028,23221.4351,1775.0236,154548.773
565,B,04,005,0.776,0.0001907,0.7018,124.5792,0.9498,1.3644,1.0044,0.7329,525.3549,65448.3246,282.7637,35226.494,1811.0154,225614.937
566,B,04,005,0.776,0.0001907,0.7018,135.1206,0.8847,1.6548,0.991,0.6043,215.8946,29171.8055,293.2736,39627.2902,1828.5724,247077.751
567,B,04,005,0.776,0.0001907,0.7018,79.676,0.9618,1.3243,1.0034,0.7551,253.9467,20233.4498,274.9003,21902.9486,1935.4622,154209.808
568,B,04,005,0.776,0.0001907,0.7018,72.1464,0.9312,1.2194,1.0213,0.8201,204.3036,14739.7787,284.3321,20513.5477,1897.778,136917.934
569,B,04,005,0.776,0.0001907,0.7018,70.6405,0.8152,1.8989,0.96,0.5266,221.126,15620.4581,301.4903,21297.4387,1845.3915,130359.453
570,B,04,005,0.776,0.0001907,0.7018,70.6405,0.9177,1.3503,0.9885,0.7406,206.3643,14577.6888,285.969,20201.0044,1886.5465,133266.667
571,B,04,005,0.776,0.0001907,0.7018,86.1103,0.9046,1.5329,1.0016,0.6524,197.5294,17009.3114,268.9936,23163.1156,1650.8553,142155.602
572,B,04,005,0.776,0.0001907,0.7018,65.1645,0.9527,1.3947,0.9979,0.717,203.3929,13254,279.2353,18196.2368,1950.042,127073.572
573,B,04,005,0.776,0.0001907,0.7018,91.4494,0.922,1.4815,0.9948,0.675,202.2186,18492.7628,280.244,25628.142,1784.9042,163228.387
574,B,04,005,0.776,0.0001907,0.7018,62.9741,0.9379,1.4706,1.0211,0.68,207.2326,13050.2924,296.2848,18658.2752,1934.1565,121801.816
575,B,04,005,0.776,0.0001907,0.7018,92.1339,0.9454,1.0973,0.9993,0.9114,232.2333,21396.5545,307.0981,28294.1379,1831.2927,168724.111
576,B,04,005,0.776,0.0001907,0.7018,89.6697,0.8708,1.6811,0.997,0.5949,212.9176,19092.2491,302.171,27095.576,1934.5573,173471.128
577,B,04,005,0.776,0.0001907,0.7018,62.7003,0.8891,1.636,0.9849,0.6112,216.155,13552.9902,314.476,19717.7464,1783.2948,111813.162
578,B,04,005,0.776,0.0001907,0.7018,80.7712,0.8478,1.7548,0.9728,0.5699,202.3,16340.006,279.478,22573.7599,1921.239,155180.704
579,B,04,005,0.776,0.0001907,0.7018,66.2597,0.9252,1.4496,1.0083,0.6899,199.1426,13195.1329,270.1612,17900.806,1917.6322,127061.799
580,B,04,005,0.776,0.0001907,0.7018,86.521,0.924,1.5156,0.9914,0.6598,199.5032,17261.2079,273.3196,23647.8795,1898.1788,164232.277
581,B,04,005,0.776,0.0001907,0.7018,80.3605,0.9384,1.3106,0.989,0.763,200.3169,16097.5556,281.075,22587.3131,1700.0409,136616.069
582,B,04,005,0.776,0.0001907,0.7018,86.7948,0.8647,1.6307,0.9976,0.6132,201.8943,17523.3719,277.8438,24115.3939,1948.0584,169081.284
583,B,04,005,0.776,0.0001907,0.7018,71.8726,0.9222,1.4279,0.974,0.7003,207.4648,14911.0409,281.2,20210.5874,1846.28,132697.025
584,B,04,005,0.776,0.0001907,0.7018,98.1575,0.8626,1.8189,0.9862,0.5498,1542.4547,151403.489,276.1283,27104.0638,1788.0265,175508.205
585,B,04,005,0.776,0.0001907,0.7018,72.0095,0.8896,1.5209,0.9915,0.6575,203.1369,14627.7943,277.019,19948.0127,1726.6255,124333.513
586,B,04,005,0.776,0.0001907,0.7018,65.4383,0.8877,1.3827,0.9907,0.7232,206.3598,13503.843,280.682,18367.3621,1688.8891,110518.085
587,B,04,005,0.776,0.0001907,0.7018,84.0568,0.9462,1.3853,1.0099,0.7218,203.1792,17078.583,278.8681,23440.7494,1909.5798,160513.107
588,B,04,005,0.776,0.0001907,0.7018,59.6885,0.9642,1.1364,0.9966,0.88,196.1491,11707.8483,264.2408,15772.1436,1935.4794,115525.897
589,B,04,005,0.776,0.0001907,0.7018,111.163,0.8289,1.5336,0.9707,0.6521,212.9791,23675.3965,307.2525,34155.1124,1951.803,216968.316
590,B,04,005,0.776,0.0001907,0.7018,76.2535,0.9051,1.5887,0.9964,0.6295,204.9767,15630.1781,278.8384,21262.3922,1935.9659,147624.083
591,B,04,005,0.776,0.0001907,0.7018,119.9246,0.8076,2.1325,0.9843,0.4689,1322.8402,158641.132,276.8721,33203.7924,1952.4989,234152.722
592,B,04,005,0.776,0.0001907,0.7018,83.0985,0.9301,1.5081,1.0033,0.6631,209.2554,17388.799,291.2768,24204.6529,1781.0494,148002.475
593,B,04,005,0.776,0.0001907,0.7018,102.5383,0.8744,1.7218,0.996,0.5808,199.785,20485.6201,272.3992,27931.3522,1925.8745,197475.907
594,B,04,005,0.776,0.0001907,0.7018,62.8372,0.8249,2.0179,1.0121,0.4956,211.1481,13267.9638,316.3094,19876.0032,1834.1961,115255.793
595,B,04,005,0.776,0.0001907,0.7018,65.5752,0.8487,1.494,0.999,0.6693,211.2902,13855.4029,294.8163,19332.646,1811.2129,118770.707
596,B,04,005,0.776,0.0001907,0.7018,83.0985,0.7214,2.3369,0.9696,0.4279,206.2636,17140.1881,284.4053,23633.6419,1928.7809,160278.734
597,B,04,005,0.776,0.0001907,0.7018,78.307,0.8338,1.6247,0.9913,0.6155,209.3916,16396.8196,296.7413,23236.9049,1860.4685,145687.629
598,B,04,005,0.776,0.0001907,0.7018,78.1701,0.9221,1.4441,0.9956,0.6925,206.5026,16142.322,287.1699,22448.0855,1950.2855,152453.925
599,B,04,005,0.776,0.0001907,0.7018,76.1166,0.9432,1.4355,1.0211,0.6966,211.3561,16087.6988,289.6187,22044.7773,1884.8417,143467.654
600,B,04,005,0.776,0.0001907,0.7018,79.5391,0.9352,1.3665,0.9873,0.7318,205.8744,16375.0525,290.346,23093.8441,1919.3959,152666.941
601,B,04,005,0.776,0.0001907,0.7018,107.8774,0.9019,1.655,1.0038,0.6042,1234.8579,133213.276,270.2284,29151.5443,1957.1168,211128.697
602,B,04,005,0.776,0.0001907,0.7018,61.1944,0.9172,1.4052,1.0056,0.7116,216.8881,13272.3446,319.1342,19529.2348,1669.9418,102191.126
603,B,04,005,0.776,0.0001907,0.7018,84.8782,0.9434,1.3811,0.9968,0.7241,206.421,17520.6339,291.0661,24705.1603,1875.6919,159205.299
604,B,04,005,0.776,0.0001907,0.7018,82.5509,0.8719,1.3701,0.9742,0.7299,245.204,20241.8007,277.5771,22914.2309,1790.4627,147804.244
605,B,04,005,0.776,0.0001907,0.7018,72.9678,0.9394,1.2877,0.9981,0.7765,807.6266,58930.7764,303.9644,22179.6241,1836.2251,133985.393
606,B,04,005,0.776,0.0001907,0.7018,74.7475,0.8093,1.8418,0.9803,0.543,210.0275,15699.0389,306.3205,22896.7077,1905.1813,142407.635
607,B,04,005,0.776,0.0001907,0.7018,102.4014,0.8741,1.7507,0.994,0.5712,1120.5575,114746.661,266.7447,27315.0271,1925.1751,197140.638
608,B,04,005,0.776,0.0001907,0.7018,85.4258,0.8133,1.7936,0.9742,0.5575,203.8269,17412.072,285.2724,24369.6177,1766.4279,150898.464
609,B,04,005,0.776,0.0001907,0.7018,135.5313,0.7901,1.8858,0.9821,0.5303,1603.901,217378.743,289.6121,39251.4989,1848.8364,250575.142
610,B,04,005,0.776,0.0001907,0.7018,66.5335,0.8991,1.4775,0.9789,0.6768,205.8086,13693.1761,289.2695,19246.125,1845.035,122756.696
611,B,04,005,0.776,0.0001907,0.7018,87.0686,0.8329,1.8818,0.9938,0.5314,205.9937,17935.5787,287.1572,25002.3708,1940.0708,168919.194
612,B,04,005,0.776,0.0001907,0.7018,72.9678,0.7883,2.0264,0.9612,0.4935,209.0994,15257.5355,304.7167,22234.5211,1815.6004,132480.448
613,B,04,005,0.776,0.0001907,0.7018,132.6564,0.7914,1.4068,0.9472,0.7108,207.1146,27475.0636,283.7513,37641.4148,1930.6914,256118.508
614,B,04,005,0.776,0.0001907,0.7018,34.9096,0.9506,1.1551,1,0.8657,199.5569,6966.4442,280.9412,9807.5356,1744.0392,60883.6588
615,B,04,005,0.776,0.0001907,0.7018,65.0276,0.7898,1.9056,0.9387,0.5248,213.6695,13894.4195,293.6211,19093.4812,1803.1179,117252.483
616,B,04,005,0.776,0.0001907,0.7018,77.2118,0.9391,1.414,1,0.7072,199.4787,15402.1022,274.2801,21177.651,1864.4468,143957.209
617,B,04,005,0.776,0.0001907,0.7018,91.7232,0.9138,1.4316,0.9838,0.6985,194.9328,17879.8603,264.3657,24248.461,1920.1358,176120.97
618,B,04,005,0.776,0.0001907,0.7018,71.1881,0.7417,2.0793,0.9656,0.4809,209.6577,14925.1417,288.3269,20525.4581,1839.4,130943.469
619,B,04,005,0.776,0.0001907,0.7018,68.3132,0.8992,1.5954,0.9911,0.6268,198.3687,13551.2105,269.2866,18395.8374,1852.3627,126540.893
620,B,04,005,0.776,0.0001907,0.7018,85.5627,0.7898,2.1785,1.0073,0.459,200.4928,17154.6995,272.1392,23284.9569,1920.3872,164313.458
621,B,04,005,0.776,0.0001907,0.7018,78.7177,0.8694,1.2036,0.9829,0.8308,204.1983,16074.0087,280.0887,22047.926,1850.2104,145644.231
622,B,04,005,0.776,0.0001907,0.7018,90.4911,0.9532,1.2534,0.9822,0.7978,208.8351,18897.7138,307.6641,27840.8611,1709.9168,154732.219
623,B,04,005,0.776,0.0001907,0.7018,89.1221,0.9624,1.2949,0.9886,0.7723,242.0937,21575.8939,284.3932,25345.7167,1936.3333,172570.051
624,B,04,005,0.776,0.0001907,0.7018,63.3848,0.8555,1.7493,0.9789,0.5716,207.0497,13123.8078,293.4255,18598.7236,1726.7106,109447.251
625,B,04,005,0.776,0.0001907,0.7018,92.8184,0.8857,1.2419,0.961,0.8052,200.2832,18589.962,272.059,25252.0769,1955.7286,181527.573
626,B,04,005,0.776,0.0001907,0.7018,94.0505,0.7167,2.4985,0.9892,0.4002,197.9607,18618.3003,265.2547,24947.3369,1775.0742,166946.598
627,B,04,005,0.776,0.0001907,0.7018,21.0826,0.9573,1.1431,0.9968,0.8748,200.7987,4233.3672,271.7792,5729.8241,1902.3701,40106.9887
